Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,Field 35,Value 35,Units 35,Field 36,Value 36,Units 36,Field 37,Value 37,Units 37,Field 38,Value 38,Units 38,Field 39,Value 39,Units 39,Field 40,Value 40,Units 40,Field 41,Value 41,Units 41,Field 42,Value 42,Units 42,Field 43,Value 43,Units 43,Field 44,Value 44,Units 44,Field 45,Value 45,Units 45,Field 46,Value 46,Units 46,Field 47,Value 47,Units 47,Field 48,Value 48,Units 48,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,0,file_id,serial_number,3888710376,,time_created,778155513,,manufacturer,1,,garmin_product,1967,,type,4,,,,,
Definition,1,file_creator,software_version,1,,hardware_version,1,,,,,,,,,,,,,,
Data,1,file_creator,software_version,370,,,,,,,,,,,,,,,,,
Definition,2,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,device_index,1,,device_type,1,,
Data,2,device_info,timestamp,778162713,s,serial_number,3888710376,,manufacturer,1,,product,1967,,software_version,3.7,,device_index,0,,device_type,1,,
Definition,3,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,unknown,1,,unknown,1,,altitude,1,,speed,1,,power,1,,vertical_oscillation,1,,stance_time_percent,1,,stance_time,1,,heart_rate,1,,cadence,1,,cycle_length,1,,temperature,1,,left_right_balance,1,,fractional_cadence,1,,
Data,3,record,timestamp,778145578,s,position_lat,560668542,semicircles,position_long,101225594,semicircles,distance,0.0,m,altitude,436.0,m,speed,1.02,m/s,cadence,0,rpm,temperature,17,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,778145579,s,position_lat,560668599,semicircles,position_long,101225508,semicircles,distance,0.19,m,altitude,439.6,m,speed,1.02,m/s,cadence,0,rpm,temperature,22,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,778145580,s,position_lat,560668689,semicircles,position_long,101225402,semicircles,distance,1.28,m,altitude,439.6,m,speed,1.02,m/s,cadence,0,rpm,temperature,22,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,778145581,s,position_lat,560668673,semicircles,position_long,101225216,semicircles,distance,2.48,m,altitude,439.6,m,speed,1.02,m/s,cadence,0,rpm,temperature,22,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,778145582,s,position_lat,560668767,semicircles,position_long,101225050,semicircles,distance,3.86,m,altitude,439.6,m,speed,1.02,m/s,cadence,0,rpm,temperature,22,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,778145583,s,position_lat,560668858,semicircles,position_long,101224915,semicircles,distance,5.07,m,altitude,437.0,m,speed,1.31,m/s,cadence,49,rpm,temperature,22,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,778145584,s,position_lat,560668919,semicircles,position_long,101224769,semicircles,distance,6.16,m,altitude,437.0,m,speed,1.23,m/s,cadence,49,rpm,temperature,22,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,778145585,s,position_lat,560669005,semicircles,position_long,101224632,semicircles,distance,7.35,m,altitude,437.0,m,speed,1.13,m/s,cadence,49,rpm,temperature,22,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,778145586,s,position_lat,560669119,semicircles,position_long,101224527,semicircles,distance,8.61,m,altitude,437.20000000000005,m,speed,1.16,m/s,cadence,49,rpm,temperature,22,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,778145587,s,position_lat,560669207,semicircles,position_long,101224418,semicircles,distance,9.69,m,altitude,437.20000000000005,m,speed,1.16,m/s,cadence,49,rpm,temperature,22,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
