Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,0,file_id,serial_number,3781460954,,time_created,802925292,,manufacturer,1,,garmin_product,1036,,type,4,,,,,
Definition,1,file_creator,software_version,1,,hardware_version,1,,,,,,,,,,,,,,
Data,1,file_creator,software_version,270,,,,,,,,,,,,,,,,,
Definition,2,event,timestamp,1,,data,1,,event,1,,event_type,1,,event_group,1,,,,,
Data,2,event,timestamp,802925292,s,timer_trigger,0,,event,0,,event_type,0,,event_group,0,,,,,
Data,2,event,timestamp,802925292,s,battery_level,4.167,V,event,11,,event_type,3,,event_group,134,,,,,
Data,2,event,timestamp,802925292,s,virtual_partner_speed,6.72,m/s,event,12,,event_type,0,,event_group,1,,,,,
Definition,3,device_info,timestamp,1,,serial_number,1,,cum_operating_time,1,,unknown,1,,manufacturer,1,,product,1,,software_version,1,,battery_voltage,1,,device_index,1,,device_type,1,,hardware_version,1,,battery_status,1,,
Data,3,device_info,timestamp,802925292,s,serial_number,3781460954,,manufacturer,1,,product,1036,,software_version,2.7,,device_index,0,,device_type,1,,,,,,,,,,,,,,,,,
Data,3,device_info,timestamp,802925292,s,manufacturer,1,,product,979,,software_version,2.3,,device_index,1,,device_type,12,,,,,,,,,,,,,,,,,,,,
Data,3,device_info,timestamp,802925292,s,device_index,2,,device_type,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,device_info,timestamp,802925292,s,device_index,3,,device_type,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,device_info,timestamp,802925292,s,device_index,4,,device_type,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,device_info,timestamp,802925292,s,device_index,5,,device_type,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,
Data,4,unknown,unknown,802925292,,unknown,1,,unknown,1,,unknown,4,,unknown,2,,unknown,5,,unknown,8,,unknown,3,,,,,,,,,,,,,,
Definition,5,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,time_from_course,1,,altitude,1,,speed,1,,power,1,,grade,1,,heart_rate,1,,cadence,1,,resistance,1,,temperature,1,,
Data,5,record,timestamp,802925292,s,position_lat,406179245,semicircles,position_long,-1412194423,semicircles,distance,0.0,m,altitude,58.0,m,speed,0.0,m/s,power,95,watts,heart_rate,91,bpm,cadence,51,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925293,s,position_lat,406179242,semicircles,position_long,-1412194416,semicircles,distance,0.05,m,altitude,58.0,m,speed,0.0,m/s,power,97,watts,heart_rate,91,bpm,cadence,50,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925294,s,position_lat,406179254,semicircles,position_long,-1412194409,semicircles,distance,0.05,m,altitude,58.0,m,speed,0.0,m/s,power,97,watts,heart_rate,91,bpm,cadence,50,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925295,s,position_lat,406179265,semicircles,position_long,-1412194400,semicircles,distance,0.05,m,altitude,58.0,m,speed,0.0,m/s,power,103,watts,heart_rate,90,bpm,cadence,52,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925296,s,position_lat,406179273,semicircles,position_long,-1412194393,semicircles,distance,0.06,m,altitude,58.0,m,speed,0.0,m/s,power,104,watts,heart_rate,91,bpm,cadence,52,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925297,s,position_lat,406179282,semicircles,position_long,-1412194386,semicircles,distance,0.06,m,altitude,58.0,m,speed,0.0,m/s,power,99,watts,heart_rate,91,bpm,cadence,52,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925298,s,position_lat,406179285,semicircles,position_long,-1412194383,semicircles,distance,0.06,m,altitude,58.0,m,speed,0.0,m/s,power,104,watts,heart_rate,92,bpm,cadence,55,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925299,s,position_lat,406179283,semicircles,position_long,-1412194381,semicircles,distance,0.09,m,altitude,58.0,m,speed,0.0,m/s,power,107,watts,heart_rate,92,bpm,cadence,57,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925300,s,position_lat,406179281,semicircles,position_long,-1412194380,semicircles,distance,0.1,m,altitude,58.0,m,speed,0.0,m/s,power,104,watts,heart_rate,95,bpm,cadence,57,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925301,s,position_lat,406179278,semicircles,position_long,-1412194381,semicircles,distance,0.11,m,altitude,58.0,m,speed,0.0,m/s,power,104,watts,heart_rate,97,bpm,cadence,59,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925302,s,position_lat,406179273,semicircles,position_long,-1412194382,semicircles,distance,0.13,m,altitude,58.0,m,speed,0.0,m/s,power,103,watts,heart_rate,99,bpm,cadence,58,rpm,temperature,26,C,,,,,,,,,,
